,Unnamed: 0,Unnamed: 1,24210000100290200001 Погибло лесных насаждений,24210000100290200001 Погибло лесных насаждений.1,24210000100290200001 Погибло лесных насаждений.2,24210000100290200001 Погибло лесных насаждений.3,24210000100290200001 Погибло лесных насаждений.4,24210000100290200001 Погибло лесных насаждений.5,24210000100290200001 Погибло лесных насаждений.6
0,,,2013 г.,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.,2019 г.
1,Российская Федерация,643.0,619754.99,511644,491540.99,327619,217797.99,223282.99,169103
2,Центральный федеральный округ,30.0,45600,36782,34975,22384.99,21483.99,14146,8552
3,Белгородская область,14000000000.0,,2,,63,23,33,41
4,Брянская область,15000000000.0,2183,1295,964,694,609,454,326
5,Владимирская область,17000000000.0,5334,3094,1320,721,552,405,359
6,Воронежская область,20000000000.0,752,374,851,457,392,218,545
7,Ивановская область,24000000000.0,2106.99,2055,958,465,240,127,42
8,Калужская область,29000000000.0,2992.99,2156,2097,1364,936,476.99,165
9,Костромская область,34000000000.0,136,108,216,164,145,24,
10,Курская область,38000000000.0,48,21,14,28,13,24,42
11,Липецкая область,42000000000.0,624,382,850,375,361,641,249
12,Московская область,46000000000.0,12332.99,8778,12199,7005,5662,2038.99,2191
13,Орловская область,54000000000.0,101,105,25,10,4,15,2
14,Рязанская область,61000000000.0,5115,1953,1676,840,172,199,95
15,Смоленская область,66000000000.0,1178,612,894,1150,151,308,239
16,Тамбовская область,68000000000.0,513,1798,903,845,40,1144,404
17,Тверская область,28000000000.0,10947,12589,11004,7777,10273.99,7835,3679
18,Тульская область,70000000000.0,235,166,204,167,20,112,34
19,Ярославская область,78000000000.0,1001,1294,800,260,1890,91,139
20,Северо-Западный федеральный округ,31.0,34877.99,41850.99,36250.99,19542,5892,6911,6793
21,Республика Карелия,86000000000.0,8861,1530,226,1017.99,443,1661,2300
22,Республика Коми,87000000000.0,8490,12822,8204,2387,1200,1512,1212
23,Архангельская область,11000000000.0,3782,4454,6693,5327,582,344,281
